#Frame     RMSD_00002
       2       1.4146
       4       1.4151
       6       1.4668
       8       1.3836
      10       1.3705
      12       1.3796
      14       1.4124
      16       1.3631
      18       1.3544
      20       1.3952
      22       1.3787
      24       1.4183
      26       1.4718
      28       1.4235
      30       1.4163
      32       1.3930
      34       1.4688
      36       1.3890
      38       1.4167
      40       1.4414
      42       1.5420
      44       1.4155
      46       1.4003
      48       1.4672
      50       1.4461
      52       1.4335
      54       1.3705
      56       1.3974
      58       1.4193
      60       1.3930
      62       1.4091
      64       1.4315
      66       1.5064
      68       1.4195
      70       1.5190
      72       1.5315
      74       1.4033
      76       1.4352
      78       1.5102
      80       1.5744
      82       1.4911
      84       1.3690
      86       1.4180
      88       1.4172
      90       1.4554
      92       1.4463
      94       1.4399
      96       1.3963
      98       1.3946
     100       1.3945
     102       1.3928
     104       1.3531
     106       1.2860
     108       1.3968
     110       1.3433
     112       1.4213
     114       1.3481
     116       1.3506
     118       1.3431
     120       1.4484
     122       1.4159
     124       1.3468
     126       1.3134
     128       1.3011
     130       1.2806
     132       1.2355
     134       1.2473
     136       1.3849
     138       1.3320
     140       1.2885
     142       1.2747
     144       1.3188
     146       1.3826
     148       1.4313
     150       1.4374
     152       1.3466
     154       1.3916
     156       1.3560
     158       1.4288
     160       1.4888
     162       1.4989
     164       1.4062
     166       1.5098
     168       1.4077
     170       1.4745
     172       1.4466
     174       1.4643
     176       1.4356
     178       1.4635
     180       1.4428
     182       1.3521
     184       1.2999
     186       1.4463
     188       1.4148
     190       1.3728
     192       1.4027
     194       1.4398
     196       1.3890
     198       1.3727
     200       1.3665
     202       1.3706
     204       1.3727
     206       1.3655
     208       1.4037
     210       1.4479
     212       1.3965
     214       1.3948
     216       1.4989
     218       1.4028
     220       1.4145
     222       1.4720
     224       1.4073
     226       1.4873
     228       1.4133
     230       1.4227
     232       1.4054
     234       1.3824
     236       1.5229
     238       1.4509
     240       1.5564
     242       1.5450
     244       1.5611
     246       1.6161
     248       1.4953
     250       1.5337
     252       1.4152
     254       1.4769
     256       1.5396
     258       1.5283
     260       1.4980
     262       1.5058
     264       1.4407
     266       1.4375
     268       1.4817
     270       1.5301
     272       1.5143
     274       1.5651
     276       1.6276
     278       1.5740
     280       1.6193
     282       1.5777
     284       1.6159
     286       1.6091
     288       1.5304
     290       1.5311
     292       1.4691
     294       1.4296
     296       1.3881
     298       1.4909
     300       1.5426
     302       1.5226
     304       1.5300
     306       1.5160
     308       1.5119
     310       1.4624
     312       1.4698
     314       1.4225
     316       1.5081
     318       1.4194
     320       1.4510
     322       1.4991
     324       1.4036
     326       1.4932
     328       1.4646
     330       1.5387
     332       1.4620
     334       1.4286
     336       1.4917
     338       1.5562
     340       1.5159
     342       1.5354
     344       1.4954
     346       1.5327
     348       1.4627
     350       1.4160
     352       1.5219
     354       1.4246
     356       1.4094
     358       1.4128
     360       1.3444
     362       1.3299
     364       1.2884
     366       1.3216
     368       1.3281
     370       1.4341
     372       1.3356
     374       1.3662
     376       1.4553
     378       1.4650
     380       1.6842
     382       1.6362
     384       1.5014
     386       1.5054
     388       1.5539
     390       1.5379
     392       1.5324
     394       1.5099
     396       1.6141
     398       1.5684
     400       1.6318
     402       1.5758
     404       1.5534
     406       1.5310
     408       1.6445
     410       1.7261
     412       1.6673
     414       1.7109
     416       1.7384
     418       1.6703
     420       1.5809
     422       1.7773
     424       1.6962
     426       1.7132
     428       1.7142
     430       1.8085
     432       1.6728
     434       1.6352
     436       1.5984
     438       1.6356
     440       1.6125
     442       1.7439
     444       1.5713
     446       1.4292
     448       1.4583
     450       1.5079
     452       1.5707
     454       1.6739
     456       1.6374
     458       1.5974
     460       1.6896
     462       1.5773
     464       1.6256
     466       1.6294
     468       1.5647
     470       1.6218
     472       1.5694
     474       1.5657
     476       1.5957
     478       1.6214
     480       1.6526
     482       1.5538
     484       1.6124
     486       1.6062
     488       1.5968
     490       1.5653
     492       1.6384
     494       1.6678
     496       1.7033
     498       1.8363
     500       1.8187
     502       1.8273
     504       1.7751
     506       1.7799
     508       1.7843
     510       1.7548
     512       1.8488
     514       1.9106
     516       1.9116
     518       1.8584
     520       1.8437
     522       1.8321
     524       1.8901
     526       1.8900
     528       1.9142
     530       1.8317
     532       1.8653
     534       1.8643
     536       1.8416
     538       1.8593
     540       1.9901
     542       2.1345
     544       2.1765
     546       2.0288
     548       1.9479
     550       2.0912
     552       1.9586
     554       1.8443
     556       1.8069
     558       1.8024
     560       1.7709
     562       1.7980
     564       1.8302
     566       1.9681
     568       1.9304
     570       1.9365
     572       1.9575
     574       1.9183
     576       2.0155
     578       1.8649
     580       1.9932
     582       1.9814
     584       1.9936
     586       1.9405
     588       1.9753
     590       1.8453
     592       1.8090
     594       1.9275
     596       1.9075
     598       1.8308
     600       1.8849
     602       1.9468
     604       1.9137
     606       1.9321
     608       1.8657
     610       1.8876
     612       1.7527
     614       1.7925
     616       1.8329
     618       1.7318
     620       1.7284
     622       1.7800
     624       1.8153
     626       1.7644
     628       1.8054
     630       1.6443
     632       1.6601
     634       1.6723
     636       1.6035
     638       1.8246
     640       1.7144
     642       1.6886
     644       1.7057
     646       1.7830
     648       1.7610
     650       1.8119
     652       1.8926
     654       1.8248
     656       1.8392
     658       1.8156
     660       1.9170
     662       1.8945
     664       1.7765
     666       1.7860
     668       1.8325
     670       1.7729
     672       1.6221
     674       1.6861
     676       1.7349
     678       1.6208
     680       1.6151
     682       1.6892
     684       1.7427
     686       1.7216
     688       1.6308
     690       1.8050
     692       1.6496
     694       1.6006
     696       1.6967
     698       1.5608
     700       1.6342
     702       1.6202
     704       1.6551
     706       1.7631
     708       1.7376
     710       1.7418
     712       1.7226
     714       1.6959
     716       1.6733
     718       1.6246
     720       1.5702
